plot,rowtree.id,year
Restinclieres-A2,B-16,16
Restinclieres-A2,B-18,14
Restinclieres-A2,B-18,20
Restinclieres-A2,B-20,20
Restinclieres-A2,B-25,14
Restinclieres-A2,B-25,15
Restinclieres-A2,B-25,16
Restinclieres-A2,B-25,20
Restinclieres-A2,B-25,22
Restinclieres-A2,B-27,20
Restinclieres-A2,B-29,14
Restinclieres-A2,B-29,15
Restinclieres-A2,B-29,20
Restinclieres-A2,B-30,14
Restinclieres-A2,B-30,15
Restinclieres-A2,B-30,16
Restinclieres-A2,B-30,21
Restinclieres-A2,B-31,20
Restinclieres-A2,B-35,14
Restinclieres-A2,B-35,15
Restinclieres-A2,B-35,16
Restinclieres-A2,B-35,21
Restinclieres-A2,B-36,14
Restinclieres-A2,B-36,19
Restinclieres-A2,B-38,20
Restinclieres-A2,B-38,21
Restinclieres-A2,B-39,14
Restinclieres-A2,B-39,20
Restinclieres-A2,B-39,21
Restinclieres-A2,B-39,22
Restinclieres-A2,B-45,15
Restinclieres-A2,B-45,21
Restinclieres-A2,B-48,21
Restinclieres-A2,B-48,22
Restinclieres-A2,B-48,14
Restinclieres-A2,B-50,15
Restinclieres-A2,B-50,20
Restinclieres-A2,B-53,14
Restinclieres-A2,B-53,18
Restinclieres-A2,B-53,20
Restinclieres-A2,B-54,20
Restinclieres-A2,B-54,21
Restinclieres-A2,B-54,22
Restinclieres-A2,B-55,14
Restinclieres-A2,B-55,15
Restinclieres-A2,B-55,20
Restinclieres-A2,B-56,17
Restinclieres-A2,B-56,16
Restinclieres-A2,B-59,14
Restinclieres-A2,B-59,15
Restinclieres-A2,B-59,16
Restinclieres-A2,B-59,20
Restinclieres-A2,B-62,18
Restinclieres-A2,B-62,19
Restinclieres-A2,B-63,14
Restinclieres-A2,B-63,19
Restinclieres-A2,B-63,20
Restinclieres-A2,B-64,14
Restinclieres-A2,B-64,15
Restinclieres-A2,B-64,16
Restinclieres-A2,B-64,20
Restinclieres-A2,B-64,21
Restinclieres-A2,B-67,14
Restinclieres-A2,B-67,15
Restinclieres-A2,B-67,16
Restinclieres-A2,B-67,20
Restinclieres-A2,B-67,21
Restinclieres-A2,H-10,14
Restinclieres-A2,H-15,20
Restinclieres-A2,H-15,21
Restinclieres-A2,H-15,14
Restinclieres-A2,H-18,14
Restinclieres-A2,H-18,15
Restinclieres-A2,H-18,16
Restinclieres-A2,H-18,21
Restinclieres-A2,H-19,14
Restinclieres-A2,H-19,15
Restinclieres-A2,H-19,16
Restinclieres-A2,H-19,21
Restinclieres-A2,H-20,14
Restinclieres-A2,H-20,21
Restinclieres-A2,H-22,14
Restinclieres-A2,H-22,15
Restinclieres-A2,H-22,16
Restinclieres-A2,H-22,21
Restinclieres-A2,H-23,15
Restinclieres-A2,H-25,15
Restinclieres-A2,H-25,21
Restinclieres-A2,H-25,22
Restinclieres-A2,H-26,15
Restinclieres-A2,H-26,21
Restinclieres-A2,H-30,14
Restinclieres-A2,H-31,17
Restinclieres-A2,H-31,21
Restinclieres-A2,H-34,14
Restinclieres-A2,H-34,15
Restinclieres-A2,H-34,16
Restinclieres-A2,H-34,17
Restinclieres-A2,H-34,21
Restinclieres-A2,H-36,14
Restinclieres-A2,H-36,15
Restinclieres-A2,H-36,16
Restinclieres-A2,H-36,17
Restinclieres-A2,H-36,21
Restinclieres-A2,H-39,15
Restinclieres-A2,H-39,16
Restinclieres-A2,H-39,21
Restinclieres-A2,H-4,14
Restinclieres-A2,H-4,21
Restinclieres-A2,H-40,18
Restinclieres-A2,H-40,19
Restinclieres-A2,H-45,14
Restinclieres-A2,H-45,15
Restinclieres-A2,H-45,20
Restinclieres-A2,H-47,18
Restinclieres-A2,H-47,21
Restinclieres-A2,H-49,16
Restinclieres-A2,H-49,21
Restinclieres-A2,H-5,21
Restinclieres-A2,H-6,21
Restinclieres-A2,H-68,17
Restinclieres-A2,H-68,21
Restinclieres-A2,H-71,21
Restinclieres-A2,H-75,14
Restinclieres-A2,H-75,15
Restinclieres-A2,H-75,21
Restinclieres-A2,H-78,15
Restinclieres-A2,H-78,21
Restinclieres-A2,I-11,17
Restinclieres-A2,I-11,21
Restinclieres-A2,I-11,22
Restinclieres-A2,I-12,17
Restinclieres-A2,I-12,21
Restinclieres-A2,I-14,18
Restinclieres-A2,I-14,19
Restinclieres-A2,I-14,21
Restinclieres-A2,I-14,22
Restinclieres-A2,I-15,17
Restinclieres-A2,I-15,21
Restinclieres-A2,I-19,14
Restinclieres-A2,I-19,21
Restinclieres-A2,I-25,15
Restinclieres-A2,I-25,20
Restinclieres-A2,I-25,21
Restinclieres-A2,I-26,18
Restinclieres-A2,I-26,20
Restinclieres-A2,I-27,14
Restinclieres-A2,I-27,15
Restinclieres-A2,I-27,16
Restinclieres-A2,I-27,17
Restinclieres-A2,I-27,22
Restinclieres-A2,I-29,17
Restinclieres-A2,I-29,21
Restinclieres-A2,I-29,22
Restinclieres-A2,I-32,21
Restinclieres-A2,I-32,22
Restinclieres-A2,I-33,17
Restinclieres-A2,I-33,21
Restinclieres-A2,I-35,14
Restinclieres-A2,I-35,15
Restinclieres-A2,I-35,16
Restinclieres-A2,I-35,19
Restinclieres-A2,I-38,14
Restinclieres-A2,I-38,15
Restinclieres-A2,I-38,16
Restinclieres-A2,I-38,21
Restinclieres-A2,I-38,22
Restinclieres-A2,I-39,15
Restinclieres-A2,I-39,16
Restinclieres-A2,I-39,20
Restinclieres-A2,I-40,14
Restinclieres-A2,I-40,21
Restinclieres-A2,I-40,18
Restinclieres-A2,I-41,2
Restinclieres-A2,I-7,14
Restinclieres-A2,I-70,16
Restinclieres-A2,I-72,21
Restinclieres-A2,I-74,14
Restinclieres-A2,I-74,17
Restinclieres-A2,I-74,19
Restinclieres-A2,I-76,15
Restinclieres-A2,I-76,17
Restinclieres-A2,I-76,20
Restinclieres-A2,I-76,21
Restinclieres-A2,I-77,15
Restinclieres-A2,I-77,20
Restinclieres-A2,I-77,21
Restinclieres-A2,I-78,14
Restinclieres-A2,I-78,16
Restinclieres-A2,I-8,21
Restinclieres-A2,I-8,16
Restinclieres-A2,I-81,14
Restinclieres-A2,I-81,21
Restinclieres-A3,2-13,20
Restinclieres-A3,2-16,9
Restinclieres-A3,2-18,11
Restinclieres-A3,2-20,16
Restinclieres-A3,2-20,20
Restinclieres-A3,2-22,14
Restinclieres-A3,2-22,20
Restinclieres-A3,2-23,15
Restinclieres-A3,2-23,16
Restinclieres-A3,2-23,20
Restinclieres-A3,2-26,15
Restinclieres-A3,2-28,10
Restinclieres-A3,2-28,14
Restinclieres-A3,2-28,20
Restinclieres-A3,2-31,14
Restinclieres-A3,2-31,20
Restinclieres-A3,2-34,14
Restinclieres-A3,2-36,20
Restinclieres-A3,2-38,20
Restinclieres-A3,2-38,14
Restinclieres-A3,2-40,20
Restinclieres-A3,2-42,15
Restinclieres-A3,2-42,17
Restinclieres-A3,2-42,20
Restinclieres-A3,3-11,10
Restinclieres-A3,3-11,20
Restinclieres-A3,3-15,20
Restinclieres-A3,3-18,19
Restinclieres-A3,3-19,14
Restinclieres-A3,3-19,15
Restinclieres-A3,3-21,15
Restinclieres-A3,3-21,20
Restinclieres-A3,3-23,20
Restinclieres-A3,3-25,15
Restinclieres-A3,3-25,20
Restinclieres-A3,3-27,17
Restinclieres-A3,3-27,20
Restinclieres-A3,3-27,10
Restinclieres-A3,3-29,14
Restinclieres-A3,3-29,17
Restinclieres-A3,3-32,15
Restinclieres-A3,3-32,20
Restinclieres-A3,3-35,11
Restinclieres-A3,3-35,20
Restinclieres-A3,3-36,11
Restinclieres-A3,3-36,15
Restinclieres-A3,3-36,20
Restinclieres-A3,3-37,15
Restinclieres-A3,3-38,14
Restinclieres-A3,3-38,15
Restinclieres-A3,3-39,15
Restinclieres-A3,3-41,14
Restinclieres-A3,3-5,11
Restinclieres-A3,3-5,15
Restinclieres-A3,3-5,20
Restinclieres-A3,3-7,NA
Restinclieres-A3,4-14,7
Restinclieres-A3,4-14,15
Restinclieres-A3,4-17,15
Restinclieres-A3,4-18,20
Restinclieres-A3,4-22,1
Restinclieres-A3,4-27,20
Restinclieres-A3,4-30,20
Restinclieres-A3,4-32,15
Restinclieres-A3,4-32,17
Restinclieres-A3,4-36,15
Restinclieres-A3,4-37,7
Restinclieres-A3,4-37,8
Restinclieres-A3,4-37,12
Restinclieres-A3,4-40,20
Restinclieres-A3,4-41,19
Restinclieres-A3,4-41,9
Restinclieres-A3,4-6,15
Restinclieres-A3,4-8,20
Restinclieres-A3,4-9,16
Restinclieres-A3,5-18,20
Restinclieres-A3,5-20,15
Restinclieres-A3,5-24,15
Restinclieres-A3,5-26,15
Restinclieres-A3,5-28,20
Restinclieres-A3,5-30,15
Restinclieres-A3,5-32,12
Restinclieres-A3,5-32,14
Restinclieres-A3,5-36,12
Restinclieres-A3,5-38,9
Restinclieres-A3,5-38,15
Restinclieres-A3,5-38,20
Restinclieres-A3,5-39,14
Restinclieres-A3,5-39,16
Restinclieres-A3,5-39,18
Restinclieres-A3,5-42,12
Restinclieres-A3,5-42,16
Restinclieres-A3,5-42,20
Restinclieres-A3,3-7,20
Restinclieres-A4,10-31,16
Restinclieres-A4,10-32,1
Restinclieres-A4,10-33,19
Restinclieres-A4,10-33,20
Restinclieres-A4,10-33,5
Restinclieres-A4,10-5,15
Restinclieres-A4,10-6,20
Restinclieres-A4,10-8,1
Restinclieres-A4,10-8,18
Restinclieres-A4,10-8,9
Restinclieres-A4,3-3,4
Restinclieres-A4,3-3,16
Restinclieres-A4,4-4,14
Restinclieres-A4,4-4,15
Restinclieres-A4,4-4,20
Restinclieres-A4,4-5,11
Restinclieres-A4,4-5,12
Restinclieres-A4,4-5,20
Restinclieres-A4,5-38,15
Restinclieres-A4,5-4,10
Restinclieres-A4,5-5,1
Restinclieres-A4,6-32,16
Restinclieres-A4,6-32,17
Restinclieres-A4,6-33,19
Restinclieres-A4,6-33,1
Restinclieres-A4,6-6,20
Restinclieres-A4,6-7,9
Restinclieres-A4,6-7,1
Restinclieres-A4,7-14,1
Restinclieres-A4,7-14,NA
Restinclieres-A4,7-14,14
Restinclieres-A4,7-14,15
Restinclieres-A4,7-15,14
Restinclieres-A4,7-15,19
Restinclieres-A4,7-15,20
Restinclieres-A4,7-16,14
Restinclieres-A4,7-16,19
Restinclieres-A4,7-16,20
Restinclieres-A4,7-17,NA
Restinclieres-A4,7-18,19
Restinclieres-A4,7-22,12
Restinclieres-A4,7-22,20
Restinclieres-A4,7-23,1
Restinclieres-A4,7-23,11
Restinclieres-A4,7-24,14
Restinclieres-A4,7-24,15
Restinclieres-A4,7-24,20
Restinclieres-A4,7-25,14
Restinclieres-A4,7-25,15
Restinclieres-A4,7-25,20
Restinclieres-A4,7-26,19
Restinclieres-A4,7-27,14
Restinclieres-A4,7-27,15
Restinclieres-A4,7-27,19
Restinclieres-A4,7-28,14
Restinclieres-A4,7-28,15
Restinclieres-A4,7-28,19
Restinclieres-A4,7-32,14
Restinclieres-A4,7-32,15
Restinclieres-A4,7-37,3
Restinclieres-A4,7-4,14
Restinclieres-A4,7-4,15
Restinclieres-A4,7-4,20
Restinclieres-A4,7-4,17
Restinclieres-A4,7-5,18
Restinclieres-A4,7-8,16
Restinclieres-A4,7-9,20
Restinclieres-A4,8-21,1
Restinclieres-A4,8-22,14
Restinclieres-A4,8-22,17
Restinclieres-A4,8-3,7
Restinclieres-A4,8-3,18
Restinclieres-A4,8-37,20
Restinclieres-A4,8-5,9
Restinclieres-A4,8-7,16
Restinclieres-A4,8-7,18
Restinclieres-A4,9-3,12
Restinclieres-A4,9-3,17
Restinclieres-A4,9-3,20
Restinclieres-A4,9-4,16
Restinclieres-A4,9-4,18
Restinclieres-A4,9-5,7
Restinclieres-A4,9-5,19
Restinclieres-A4,9-5,20
Restinclieres-A4,9-5,17
Restinclieres-A4,9-5,18
Restinclieres-A4,9-6,14
Restinclieres-A4,9-6,15
Restinclieres-A4,9-6,16
Restinclieres-A4,9-6,17
Restinclieres-A4,9-6,18
Restinclieres-A4,9-6,19
Restinclieres-A4,9-6,20
Restinclieres-A4,9-7,17
Restinclieres-A4,9-7,18
Restinclieres-A4,9-7,19
Restinclieres-A4,9-7,20
Restinclieres-A4,9-8,9
Restinclieres-A4,9-8,12
Restinclieres-A4,9-8,16
Restinclieres-A4,9-8,17
Restinclieres-A4,9-8,1
Restinclieres-A4,9-9,14
Restinclieres-A4,10-6,1
Restinclieres-A4,7-17,19
Restinclieres-A4,7-17,20
